draft_yr,player,draft_pick,season,age,tm,lg,pos,gms_played,gms_start,min_gm,fgm,fga,fg_pct,thr_pm,thr_pa,thr_pct,two_pm,two_pa,two_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,fouls,pts,,
2000,Kenyon Martin,1,2000-01,23,NJN,NBA,PF,68,68,33.4,5.1,11.4,0.445,0,0.2,0.091,5.1,11.3,0.45,0.446,1.8,2.8,0.63,2,5.4,7.4,1.9,1.1,1.7,2,4.1,12,,
2000,Kenyon Martin,1,2001-02,24,NJN,NBA,PF,73,73,34.3,6.1,13.2,0.463,0.2,0.9,0.224,5.9,12.3,0.48,0.47,2.5,3.7,0.678,1.5,3.8,5.3,2.6,1.2,1.7,2.4,3.6,14.9,,
2000,Kenyon Martin,1,2002-03,25,NJN,NBA,PF,77,77,34.1,6.6,14.1,0.47,0.1,0.6,0.209,6.5,13.5,0.481,0.475,3.3,5.1,0.653,2.1,6.2,8.3,2.4,1.3,0.9,2.5,3.8,16.7,,
2000,Kenyon Martin,1,2003-04,26,NJN,NBA,PF,65,62,34.6,6.8,13.8,0.488,0.1,0.4,0.28,6.6,13.5,0.494,0.492,3.1,4.5,0.684,2,7.4,9.5,2.5,1.5,1.3,2.6,3.5,16.7,,
2000,Kenyon Martin,1,2004-05,27,DEN,NBA,PF,70,67,32.5,6.3,13,0.49,0,0.2,0,6.3,12.8,0.496,0.49,2.8,4.4,0.646,2.1,5.2,7.3,2.4,1.4,1.1,2.1,3.3,15.5,,
2000,Kenyon Martin,1,2005-06,28,DEN,NBA,PF,56,49,27.6,5.3,10.7,0.495,0.1,0.4,0.227,5.2,10.3,0.505,0.499,2.2,3,0.712,1.7,4.6,6.3,1.4,0.8,0.9,1.3,3.1,12.9,,
2000,Kenyon Martin,1,2006-07,29,DEN,NBA,PF,2,2,31.5,4,8,0.5,0,0.5,0,4,7.5,0.533,0.5,1.5,6,0.25,3,7,10,0.5,0,0,2.5,5,9.5,,
2000,Kenyon Martin,1,2007-08,30,DEN,NBA,PF,71,71,30.4,5.3,9.8,0.538,0,0.2,0.182,5.3,9.7,0.544,0.539,1.7,3,0.58,1.5,5,6.5,1.3,1.2,1.2,1.3,3.3,12.4,,
2000,Kenyon Martin,1,2008-09,31,DEN,NBA,PF,66,66,32,4.8,9.8,0.491,0.2,0.6,0.368,4.6,9.2,0.498,0.502,1.8,3,0.604,1.2,4.8,6,2,1.5,1.1,1.6,3,11.7,,
2000,Kenyon Martin,1,2009-10,32,DEN,NBA,PF,58,58,34.2,4.9,10.7,0.456,0.1,0.5,0.276,4.7,10.2,0.465,0.463,1.6,2.9,0.557,2.4,7,9.4,1.9,1.2,1.1,1.6,3.2,11.5,,
