Player,Season,Record,TM,GP,W,L,MIN_PLAYED,PTS,POSS,TCHS,FRONT_CT_TCHS,POSS_TIME,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TCH,PTS_PER_TCH,ELBOW_CT_TCHS,POST_UPS,PAINT_TCHS,PTS_PER_ELB_TCH,PTS_PER_POST_TCH,PTS_PER_PAINT_TCH
Avery Bradley,2013-14,25-57,BOS,60,19,41,1855,891,7679,2785,1762,136,2.92,2.7,0.32,57,1,116,0.596,0,0.69
Brandon Bass,2013-14,25-57,BOS,82,25,57,2266,911,7679,3139,1986,99,1.9,0.72,0.29,241,363,360,0.423,0.639,0.756
Chris Babb,2013-14,25-57,BOS,14,3,11,132,22,7679,150,111,4,1.54,0.67,0.147,2,0,5,0,0,0.4
Chris Johnson,2013-14,25-57,BOS,40,11,29,789,250,7679,916,682,26,1.68,0.87,0.273,22,2,59,0.682,1,0.831
Courtney Lee,2013-14,25-57,BOS,30,12,18,504,221,7679,702,535,33,2.79,2.16,0.315,8,1,14,0.25,0,0.714
Gerald Wallace,2013-14,25-57,BOS,58,19,39,1416,298,7679,2163,1365,86,2.38,1.28,0.138,25,112,101,0.32,0.366,0.911
Jared Sullinger,2013-14,25-57,BOS,74,23,51,2041,982,7679,3531,2395,105,1.78,0.57,0.278,176,363,525,0.352,0.521,0.836
Jeff Green,2013-14,25-57,BOS,82,25,57,2805,1382,7679,4156,3036,179,2.59,1.49,0.333,74,253,155,0.527,0.561,0.929
Jerryd Bayless,2013-14,25-57,BOS,41,10,31,1036,416,7679,1945,1004,149,4.6,4.25,0.214,23,0,17,0.739,0,0.412
Joel Anthony,2013-14,25-57,BOS,21,5,16,149,22,7679,150,80,5,1.8,0.49,0.147,12,4,30,0.667,0,0.467
Jordan Crawford,2013-14,25-57,BOS,39,13,26,1198,536,7679,2922,954,269,5.53,5.42,0.183,23,4,31,0.565,0,0.548
Keith Bogans,2013-14,25-57,BOS,6,1,5,55,12,7679,62,49,2,2.15,0.79,0.194,0,0,0,0,0,0
Kelly Olynyk,2013-14,25-57,BOS,70,18,52,1400,607,7679,2588,1492,66,1.52,0.42,0.235,164,59,283,0.366,0.508,0.735
Kris Humphries,2013-14,25-57,BOS,69,22,47,1376,579,7679,2617,1449,67,1.53,0.47,0.221,195,88,282,0.533,0.557,0.684
MarShon Brooks,2013-14,25-57,BOS,10,2,8,73,31,7679,122,68,8,4.06,3.38,0.254,0,0,2,0,0,1
Phil Pressey,2013-14,25-57,BOS,75,23,52,1132,213,7679,2634,968,214,4.88,5.03,0.081,19,2,24,0.421,0,0.583
