DIVISION,TM,SEASON,POSSESSIONS,PTS
Atlantic,BOS,2000-01,7662,7759
Atlantic,BOS,2001-02,7658,7901
Atlantic,BOS,2002-03,7531,7599
Atlantic,BOS,2003-04,7674,7811
Atlantic,BOS,2004-05,7750,8304
Atlantic,BOS,2005-06,7640,8033
Atlantic,BOS,2006-07,7597,7857
Atlantic,BOS,2007-08,7494,8245
Atlantic,BOS,2008-09,7480,8276
Atlantic,BOS,2009-10,7531,8136
Atlantic,BOS,2010-11,7437,7913
Atlantic,BOS,2011-12,6001,6062
Atlantic,BOS,2012-13,7574,7818
Atlantic,BOS,2013-14,7679,7892
Atlantic,BOS,2014-15,7928,8312
Atlantic,BOS,2015-16,8115,8669
Atlantic,BOS,2016-17,7917,8857
Atlantic,BOS,2017-18,7879,8529
Atlantic,BOS,2018-19,8184,9216
Atlantic,BOS,2019-20,7182,8183
Atlantic,BOS,2020-21,7094,8104
Atlantic,BOS,2021-22,7989,9164
Atlantic,BOS,2022-23,8171,9671
Atlantic,PHI,2000-01,7547,7763
Atlantic,PHI,2001-02,7350,7461
Atlantic,PHI,2002-03,7616,7941
Atlantic,PHI,2003-04,7301,7215
Atlantic,PHI,2004-05,7896,8128
Atlantic,PHI,2005-06,7678,8147
Atlantic,PHI,2006-07,7503,7785
Atlantic,PHI,2007-08,7451,7923
Atlantic,PHI,2008-09,7435,7987
Atlantic,PHI,2009-10,7569,8014
Atlantic,PHI,2010-11,7621,8119
Atlantic,PHI,2011-12,5943,6180
Atlantic,PHI,2012-13,7487,7640
Atlantic,PHI,2013-14,8173,8155
Atlantic,PHI,2014-15,7861,7542
Atlantic,PHI,2015-16,8063,7988
Atlantic,PHI,2016-17,8105,8400
Atlantic,PHI,2017-18,8177,9004
Atlantic,PHI,2018-19,8361,9445
Atlantic,PHI,2019-20,7216,8084
Atlantic,PHI,2020-21,7179,8182
Atlantic,PHI,2021-22,7893,9015
Atlantic,PHI,2022-23,7960,9448
Atlantic,NYK,2000-01,7190,7275
Atlantic,NYK,2001-02,7410,7514
Atlantic,NYK,2002-03,7533,7860
Atlantic,NYK,2003-04,7471,7542
Atlantic,NYK,2004-05,7549,7977
Atlantic,NYK,2005-06,7553,7842
Atlantic,NYK,2006-07,7578,7994
