team,player,gms_played,min_played,usage_pct,fgm,fga,fg_pct,two_pt_m,two_pt_att,two_pt_pct,eff_fg_pct,ftm,fta,ft_pct,ft_rate,pts
ATL,Lou Williams,56,799,21.7,2.2,5.7,0.391,1.6,3.9,0.404,0.448,1.2,1.4,0.859,0.244,6.3
ATL,Timothé Luwawu-Cabarrot,52,685,14.3,1.4,3.6,0.398,0.6,1.2,0.469,0.516,0.7,0.8,0.854,0.22,4.4
ATL,Delon Wright,77,1452,10.3,1.6,3.5,0.454,1,2,0.51,0.535,0.7,0.8,0.857,0.234,4.4
ATL,Cameron Oliver,2,43,16.6,5,7.5,0.667,4.5,6,0.75,0.7,1,1.5,0.667,0.2,11.5
ATL,Onyeka Okongwu,48,992,14,3.3,4.7,0.69,3.3,4.7,0.69,0.69,1.7,2.3,0.727,0.487,8.2
ATL,Solomon Hill,13,139,6.6,0.2,1.5,0.15,0.1,0.5,0.143,0.2,0,0,,0,0.6
ATL,Cat Barber,3,13,22.7,0,1.3,0,0,1.3,0,0,0,1.3,0,1,0
ATL,Sharife Cooper,13,39,21.3,0.2,1.1,0.214,0.2,0.6,0.25,0.25,0,0,,0,0.5
ATL,Jalen Johnson,22,120,19.3,1,1.9,0.537,0.9,1.3,0.679,0.573,0.2,0.3,0.714,0.171,2.4
ATL,Gorgui Dieng,44,371,16.9,1.2,2.5,0.473,0.5,1,0.545,0.603,0.4,0.6,0.731,0.232,3.5
ATL,Skylar Mays,28,220,15.5,1.1,2.3,0.5,0.9,1.4,0.615,0.563,0.3,0.3,0.889,0.141,2.9
ATL,Danilo Gallinari,66,1672,18.4,3.9,9,0.434,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.261,11.7
ATL,Malcolm Hill,19,212,11.45,1.45,2.75,0.5285,0.65,0.9,0.6795,0.679,0.85,0.95,0.85,0.3635,4.55
ATL,Trae Young,76,2652,34.4,9.4,20.3,0.46,6.3,12.3,0.512,0.536,6.6,7.3,0.904,0.358,28.4
ATL,Lance Stephenson,46,814,17.45,2.2,5,0.4215,1.85,3.65,0.508,0.4435,0.9,1.15,0.6475,0.203,5.55
ATL,Kevin Knox,30,222,20.05,1.05,2.85,0.3655,0.5,1,0.498,0.4555,0.5,0.75,0.725,0.2585,3.15
ATL,Chaundee Brown Jr.,5,104,15.5,1.75,5.9,0.2515,0.75,2.65,0.275,0.3115,0.85,1,0.833,0.12,5.35
ATL,John Collins,54,1663,20.5,6.3,11.9,0.526,5.1,8.7,0.588,0.576,2.5,3.1,0.793,0.262,16.2
ATL,Clint Capela,74,2042,15.5,5,8.2,0.613,5,8.1,0.614,0.613,1.1,2.3,0.473,0.28,11.1
ATL,Cam Reddish,49,1012,21,2.95,7.2,0.4085,1.85,3.95,0.49,0.482,2,2.25,0.903,0.3625,9
ATL,Bogdan Bogdanović,63,1848,21.6,5.4,12.6,0.431,2.7,5.3,0.516,0.537,1.5,1.8,0.843,0.145,15.1
ATL,De'Andre Hunter,53,1577,19.9,4.8,10.8,0.442,3.4,7.2,0.474,0.506,2.4,3.1,0.765,0.289,13.4
ATL,Kevin Huerter,74,2188,17.5,4.7,10.3,0.454,2.5,4.7,0.53,0.559,0.6,0.7,0.808,0.068,12.1
ATL,Wes Iwundu,3,82,11.1,2.7,6,0.444,1.7,4.3,0.385,0.528,1,1.3,0.75,0.222,7.3
BOS,Kelan Martin,30,450,20.05,1.3,3.6,0.2085,0.9,2.1,0.2555,0.241,0.15,0.25,0.692,0.0385,3.15
BOS,Joe Johnson,1,2,22,1,1,1,1,1,1,1,0,0,,0,2
BOS,Jayson Tatum,76,2731,32.1,9.3,20.6,0.453,6.3,12,0.524,0.526,5.3,6.2,0.853,0.3,26.9
BOS,Justin Jackson,7,37,29.9,0.4,1.65,0.1785,0.15,0.9,0.2,0.232,1,1,1,1,2.1
BOS,Nik Stauskas,8,39,20.6,0.9,2.5,0.354,0.25,1,0.25,0.5,0.85,1.15,0.625,0.4165,3.35
BOS,Bruno Fernando,30,152,21.2,1.65,2.4,0.6035,1.6,2.35,0.5935,0.6215,0.65,1.1,0.6895,0.41,3.95
BOS,Jaylen Brown,66,2220,30.5,8.7,18.4,0.473,6.2,11.4,0.544,0.541,3.7,4.8,0.758,0.261,23.6
BOS,C.J. Miles,1,2,0,0,0,,0,0,,,0,0,,,0
BOS,Romeo Langford,48,771,11.65,1.4,3,0.5,1.05,1.8,0.6475,0.5395,0.65,1.4,0.4815,0.664,3.75
BOS,Grant Williams,77,1875,12.6,2.7,5.6,0.475,1.3,2.3,0.569,0.597,1.1,1.2,0.905,0.22,7.8
BOS,Josh Richardson,65,1600,18,3.7,8.45,0.436,2,4.55,0.4485,0.534,1.55,1.7,0.9025,0.2005,10.55
BOS,Payton Pritchard,71,1001,18.6,2.3,5.3,0.429,0.8,1.8,0.461,0.564,0.3,0.3,1,0.056,6.2
BOS,Daniel Theis,47,977,16.15,3.2,6.1,0.5335,2.5,3.9,0.6445,0.5885,1,1.5,0.6815,0.2545,8.15
BOS,Dennis Schröder,64,1837,21.85,4.45,10.6,0.4165,3.15,6.75,0.462,0.479,2.4,2.8,0.86,0.2635,12.65
BOS,Robert Williams,61,1804,11.5,4.4,6,0.736,4.4,6,0.738,0.736,1.1,1.5,0.722,0.245,10
BOS,Al Horford,69,2005,14.8,3.9,8.2,0.467,2.6,4.4,0.582,0.546,1.2,1.4,0.842,0.167,10.2
BOS,Derrick White,75,2199,19.45,4.3,10.2,0.4175,2.8,5.5,0.5115,0.49,2.65,3.1,0.861,0.3035,12.7
